Go.	가.
Hi.	안녕.
Run!	뛰어!
Run.	뛰어.
Who?	누구?
Wow!	우와!
Fire!	쏴!
Help!	도와줘!
Jump!	점프!
Jump.	점프해.
Wait!	기다려!
Wait!	잠깐!
Wait.	기다려.
Begin.	시작해.
Hello!	안녕!
I see.	알았어.
I try.	시도해볼게.
I won!	내가 이겼어!
Oh no!	아니 이런!
Relax.	진정해.
Shoot!	쏴!
Smile.	웃어.
Attack!	공격!
Attack!	공격해!
Freeze!	꼼짝마!
Get up.	일어나.
Got it!	알겠어!
Hug me.	안아줘.
I know.	알아.
I work.	나 일해.
Listen.	들어.
No way!	절대 아니야.
No way!	그럴리가!
Thanks.	고마워.
We try.	우리는 시도할거야.
We won.	우리가 이겼어.
Why me?	왜 나야?
Awesome!	굉장해!
Be fair.	공정하게 해.
Beat it.	저리 가.
Call us.	우리한테 연락해.
Come in.	들어와.
Come on!	어서!
Get out.	나가.
Go away!	저리 가!
Go away.	저리 가.
Goodbye!	안녕!
He came.	그가 왔어.
He came.	그 사람이 왔어.
Help me!	도와줘!
Help me.	도와줘.
Hit Tom.	톰을 때려.
I agree.	동의해.
I'm sad.	슬퍼.
Me, too.	나도.
Open up.	열어.
Perfect!	완벽해!
Show me.	보여줘.
Shut up!	시끄러워!
Skip it.	건너뛰어.
Stop it.	그만해.
Tell me.	말해.
Tom won.	톰이 이겼어.
Wake up!	일어나!
Wash up.	설거지 해.
Welcome.	어서오세요.
Welcome.	환영합니다.
Who won?	누가 이겼어?
Why not?	왜 안돼?
Cheer up!	힘내!
Cool off!	진정해!
Get lost.	꺼져.
Go ahead.	계속해.
Good job!	잘했어!
Grab Tom.	톰을 잡아.
How cute!	귀엽잖아!
How cute!	이렇게 귀엽다니!
How deep?	얼마나 깊게?
Hurry up.	서둘러.
I forgot.	잊어버렸어.
I'm ugly.	나는 못 생겼다.
It hurts.	아파.
It works.	동작하네.
It works.	작동하네.
It works.	되네.
Let's go!	가자!
Look out!	조심해!
Sit down!	앉아!
Sit here.	여기 앉아.
Speak up!	크게 말해!
Stand up!	일어서!
Tell Tom.	톰한테 말해.
Tell Tom.	톰에게 말해.
They won.	그들이 이겼어.
They won.	그 사람들이 이겼어.
Tom died.	톰이 죽었어.
Tom left.	톰이 떠났어.
Tom left.	톰은 떠났어.
Tom lied.	톰이 거짓말을 했어.
Tom lied.	톰이 거짓말했어.
Tom lost.	톰이 졌어.
Tom paid.	톰이 지불했어.
Tom quit.	톰이 그만둬.
Tom wept.	톰이 눈물을 흘렸어.
Too late.	너무 늦어.
Trust me.	날 믿어.
Try hard.	열심히 해.
Try some.	좀 먹어봐.
Try this.	이거 시도해봐.
What for?	뭐 하러?
What fun!	재밌잖아!
What fun!	이렇게 재미있을 수가!
Who died?	누가 죽었어?
Who quit?	누가 그만둬?
Answer me.	대답해.
Birds fly.	새가 날고 있네.
Calm down.	진정해.
Come here.	여기로 와.
Come home.	집에 와.
Dogs bark.	개가 짖네.
Don't lie.	거짓말 하지 마.
Don't lie.	거짓말 하지 마세요.
Fantastic!	끝내주네!
Follow me.	따라와.
Forget it.	잊어버려.
Forget me.	날 잊어.
Forget me.	날 잊어버려.
Get ready.	준비해.
Good luck.	행운을 빌어.
Good luck.	잘 되길 바라.
Grab this.	저걸 움켜쥐어.
Hands off.	손대지 마.
He smiled.	그 사람은 미소지었어.
Hold this.	저걸 잡고 있어.
How awful!	끔찍해라!
How awful!	이렇게 끔찍할 수가!
I fainted.	나는 기절했어.
I laughed.	나는 웃었어.
I promise.	약속할게.
I'm sorry.	미안해.
I'm sorry.	미안해요.
I'm sorry.	죄송합니다.
I'm sorry.	유감입니다.
It rained.	비가 왔어.
